title,stars,name,text,label,processed_text,predicted_label,prediction_confidence,Advertisement_Flag,Irrelevant_Content_Flag,Rant_Flag,Clean_Review_Flag,Irrelevant_Flag,Feedback_Flag
Paragon Shopping Centre,5.0,Suhas Goel,"Paragon Mall is a standout shopping destination located in the heart of Orchard Road, Singaporeâ€™s upscale retail district. It strikes a great balance between luxury and accessible brands, featuring boutiques like Gucci and Prada alongside more mid-range labels. The mall is well-maintained, with elegant interiors and a comfortable shopping atmosphere. There are also plenty of food optionsâ€”from casual cafes to fine diningâ€”making it a convenient spot for both shopping and dining. Whether youâ€™re looking for designer fashion or a relaxing meal, Paragon offers a premium yet approachable experience.",feedback,paragon mall standout shopping destination located heart orchard road singapore upscale retail district. strike great balance luxury accessible brand featuring boutique like gucci prada alongside mid-range labels. mall well-maintained elegant interior comfortable shopping atmosphere. also plenty food option casual cafe fine dining making convenient spot shopping dining. whether looking designer fashion relaxing meal paragon offer premium yet approachable experience.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Cheiro Theorem,"The shopping centre may not be large in size, but itâ€™s super compact and well laid out. Itâ€™s packed with all kinds of shops, from food and fashion to beauty and wellness, you name it. The buildingâ€™s design looks good, especially the sharp, angular structure. It gives the place a sleek, modern vibe that makes it feel pretty upscale and stylish. Itâ€™s a great spot to shop and eat.",feedback,shopping centre may not large size super compact well laid out. packed kind shop food fashion beauty wellness name it. building design look good especially sharp angular structure. give place sleek modern vibe make feel pretty upscale stylish. great spot shop eat.,feedback,0.95,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Cheong Loong,"Every year at Xmas time, I will definitely make a memory trip to this beautifully   decorated centre. It brings back what festive mood is about as the shops put up their best window dressing that pulls in shoppers into the spirit on spending special gifts for their loved ones. The atmosphere feels warm n happy, bringing joy to anyone who can chill at the several prestige cafes that serve gourmet food n drinks after shopping. That's what life is about during Xmas season . We deserve to enjoy it.",feedback,every year xmas time definitely make memory trip beautifully decorated centre. brings back festive mood shop put best window dressing pull shopper spirit spending special gift loved ones. atmosphere feel warm n happy bringing joy anyone chill several prestige cafe serve gourmet food n drink shopping. life xmas season . deserve enjoy it.,feedback,0.92,0,0,0,1,0,1
Paragon Shopping Centre,4.0,K Tan,"Paragon shopping centre is one of the better malls along Orchard Rd shopping belt.
The CNY atmosphere and decoration is very festive and welcoming.
Main anchor tenants like Metro Muji and CS Supermarket at the basement.
Good selection of luxury items and mid level goods.
Plenty of restaurants and cafes in the premises.
Always drop by when shopping at Orchard Rd.",feedback,paragon shopping centre one better mall along orchard rd shopping belt. cny atmosphere decoration festive welcoming. main anchor tenant like metro muji c supermarket basement. good selection luxury item mid level goods. plenty restaurant cafe premises. always drop shopping orchard rd.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Febriana Tri Hartina,"In my opinion, this mall is the best among all the malls in Orchard. It offers a wide range of options, from high-end brands to more affordable choices. The food selection is impressive as well, featuring favorites like PS Cafe, Tambuah Mas, and many others. I often visit this mall, especially during my pregnancy and postpartum period. I particularly love the fifth floor, where all the kids' shops are located. There's even a small playground that my child enjoys.",feedback,opinion mall best among mall orchard. offer wide range option high-end brand affordable choices. food selection impressive well featuring favorite like p cafe tambuah ma many others. often visit mall especially pregnancy postpartum period. particularly love fifth floor kid shop located. even small playground child enjoys.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Sheng Sheng,"Paragon exudes sophistication from the moment you step in. Its interior design features airy dual atria, sleek wide corridors across six levels, and natural light flooding through clerestory windows all wrapped in warm timber tones and veined stone finishes. The space feels refined yet inviting, balancing luxury with a welcoming atmosphere.

This is a premier destination for upscale fashion and designer labels. Inside, youâ€™ll find an enviable collection of international luxury brands like Gucci (home to a five-storey flagship), Prada, Givenchy, Burberry as well as accessible luxury names such as Coach and Miu Miu. The mix caters to a wide range of shoppers, offering depth without sacrificing prestige.

Paragon also shines when it comes to food, offering everything from casual cafÃ©s to fine dining. Highlights include Michelin-starred Crystal Jade Golden Palace and the luxurious Imperial Treasure Super Peking Duck restaurant.

If youâ€™re looking for a luxe yet approachable shopping experience in Singapore, Paragon delivers on multiple fronts: beautiful architecture, top-tier brand selection, diverse dining, and great accessibility. Whether youâ€™re browsing high fashion or stopping for a gourmet meal, itâ€™s a stylish and elevated destination that impresses.",feedback,paragon exudes sophistication moment step in. interior design feature airy dual atrium sleek wide corridor across six level natural light flooding clerestory window wrapped warm timber tone veined stone finishes. space feel refined yet inviting balancing luxury welcoming atmosphere. premier destination upscale fashion designer labels. inside find enviable collection international luxury brand like gucci home five-storey flagship prada givenchy burberry well accessible luxury name coach miu miu. mix caters wide range shopper offering depth without sacrificing prestige. paragon also shine come food offering everything casual caf fine dining. highlight include michelin-starred crystal jade golden palace luxurious imperial treasure super peking duck restaurant. looking luxe yet approachable shopping experience singapore paragon delivers multiple fronts: beautiful architecture top-tier brand selection diverse dining great accessibility. whether browsing high fashion stopping gourmet meal stylish elevated destination impresses.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,4.0,Fab Foodie Swede Malin Nordblom,"Itâ€™s one of the better malls in Singapore. Great choices for food and restaurants. There is also several cafes. In the basement there is a supermarket, and it has a big selection of everything.
Clothes, shoes, bags, toys etc.. Both more expensive and less. Here is also a nice Markâ€™s and Spencer.",feedback,one better mall singapore. great choice food restaurants. also several cafes. basement supermarket big selection everything. clothes shoe bag toy etc.. expensive less. also nice mark spencer.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,1.0,Angie,"Was at Paragon yesterday evening between 6.30-7.30. Visited a Club 21 pop up sale store on level 2. The experience there with the so call salesperson wasnâ€™t good. The store was selling most brands from Club 21 were slashing prices up to 70- 80 percent discount. I asked to reserved a pair of shoes in the afternoon and put at the counter as I need to rush off to meet clients. As a salesperson myself, this service given to me was below standard. Club 21 is a respectable company in Singapore having this young managers with no respect to customer is very bad. When I went back to buy the shoes, I couldnâ€™t find it, so one lady brought out the shoes and told me itâ€™s sales item, you asked my part time to keep for you she donâ€™t know anything , if we sold the shoes away there is nothing we can do! This sentence , sounds rude to me. She looked down on customers that are buying sales item, if she canâ€™t respect customers that are buying sales item, DONâ€™T GIVE DISCOUNT period.",feedback,paragon yesterday evening 6.30-7.30. visited club 21 pop sale store level 2. experience call salesperson good. store selling brand club 21 slashing price 70- 80 percent discount. asked reserved pair shoe afternoon put counter need rush meet clients. salesperson service given standard. club 21 respectable company singapore young manager no respect customer bad. went back buy shoe find one lady brought shoe told sale item asked part time keep know anything sold shoe away nothing sentence sound rude me. looked customer buying sale item respect customer buying sale item give discount period.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,2.0,joel chan,"I'm usually quite hesitant to leave negative reviews but I hope this won't be the experience of others in the future. I was at Paragon today and really needed to charge my phone and when I walked past the concierge I noticed that they had a sign stating that they offer portable chargers. When I went up to ask if I could borrow or rent one, the lady at the concierge didn't even look at me until i paused to wait for her to look up and assumed she was busy even though she already said ""hi"" while looking down. She then told me I had to pay a $50 deposit to borrow the portable charger, which I am completely fine with and understand the need for. She appeared shocked when I said I was fine with the $50 deposit so I just said it again that I was completely fine with it. She continued staring at me and just said ""$50 deposit"" which honestly confused me because she didn't ask me how I wanted to pay and didn't tell me only cash was accepted and repeated it until I asked her if only cash payment was available. I then told her that i didn't have cash and asked if card payment was available to which she replied ""there's an ATM""... I don't carry cash around and that's not her fault but I really think that for a mall like  paragon that the staff, especially at the concierge to have some sort of customer service training. I also think it would be a good idea to allow for card payment for the $50 deposit as many don't carry cash anymore especially if it is advertised at the concierge.",feedback,usually quite hesitant leave negative review hope experience others future. paragon today really needed charge phone walked past concierge noticed sign stating offer portable chargers. went ask could borrow rent one lady concierge even look paused wait look assumed busy even though already said hi looking down. told pay 50 deposit borrow portable charger completely fine understand need for. appeared shocked said fine 50 deposit said completely fine it. continued staring said 50 deposit honestly confused ask wanted pay tell cash accepted repeated asked cash payment available. told cash asked card payment available replied atm ... carry cash around not fault really think mall like paragon staff especially concierge sort customer service training. also think would good idea allow card payment 50 deposit many carry cash anymore especially advertised concierge.,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Rebecca Maki,"Always the most atas shopping mall in Orchard to me. We can find a lot of good stuff and food there. Including kid's apparel. Whenever we go to orchard, we will not miss entering Paragon. Like today, we just spent 5 hrs in Paragon. The Christmas atmosphere is 100%.",feedback,always atas shopping mall orchard me. find lot good stuff food there. including kid apparel. whenever go orchard not miss entering paragon. like today spent 5 hr paragon. christmas atmosphere 100 .,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Pegasios Petrou,"Nice, clean, tidy mall, with all sorts of shops. On the left side there are more high-end shops, on the right side, the rest. On the top floor there is a kids playground area, and a Toys R Us overlooking it.
Various coffee shops also located in the mall (as well as restaurants) in the well air-conditioned areas.
There is a local supermarket at the basement floors, as well as restaurants to choose from.
Definitely recommend it, as the A/C, free WIFI and nice shops are very attractive to resist!",feedback,nice clean tidy mall sort shops. left side high-end shop right side rest. top floor kid playground area toy r u overlooking it. various coffee shop also located mall well restaurant well air-conditioned areas. local supermarket basement floor well restaurant choose from. definitely recommend a/c free wifi nice shop attractive resist,feedback,0.99,0,0,0,1,0,1
Paragon Shopping Centre,4.0,Richard A Francisco,Paragon is an upmarket shopping mall with high end designer brands as well as fine watches and jewellery and even art! They also have restaurants and cafes here. This place isn't really big but it makes up for it with the variety of shopping choices inside. There's a clinic here and Mount Elizabeth hospital is just at the back of the building,feedback,paragon upmarket shopping mall high end designer brand well fine watch jewellery even art also restaurant cafe here. place really big make variety shopping choice inside. clinic mount elizabeth hospital back building,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Elle,"one of our favourite malls that has delicious food, a large variety of shops, and seasonal exhibitions! some of our favourite places to eat here are halcyon and crane and old seng choong! there are a large range of shops from luxury brands to more affordable shops like metro. the staff are generally quite friendly as well! this mall is spacious and has a logical and easy layout. we would definitely recommend coming here for a quick break from shopping in orchard!",feedback,one favourite mall delicious food large variety shop seasonal exhibition favourite place eat halcyon crane old seng choong large range shop luxury brand affordable shop like metro. staff generally quite friendly well mall spacious logical easy layout. would definitely recommend coming quick break shopping orchard,feedback,0.97,0,0,0,1,0,1
Paragon Shopping Centre,5.0,FrauAM M,There is an Event todayâ€¦ all sculptures were amazing!,feedback,event today sculpture amazing,feedback,0.9,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Abhinna Nayak,"One of the best and costly mall in Singapore. All branded clothing stores, toy stores , watch stores, shoes stores available. High quality with high prices. Beside that many Chinese food stalls available. Really I like this. Superb mall.",feedback,one best costly mall singapore. branded clothing store toy store watch store shoe store available. high quality high prices. beside many chinese food stall available. really like this. superb mall.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,4.0,FrÃ©dÃ©ric Borgognon,"Paragon shopping centre is a luxury mall located on famous Orchard Road (easy access by bus or SMRT).
There are approx 200 stores with famous international brands like Tod's, Prada, Jimmy Choo, Burberry.or Gucci. Nice decoration.
Lot of cafÃ© to brunch or just drink something on every floor.
On the basement, there is a food court and supermarket.
In Paragon you can eat for moderate price or to high end price. There is also a Michelin star restaurant called ""Crystal Jade Golden Palace"". Also a fitness first on the 8th floor opened every day.
Very busy the weekend but very nice place to chill out.",feedback,paragon shopping centre luxury mall located famous orchard road easy access bus smrt . approx 200 store famous international brand like tod prada jimmy choo burberry.or gucci. nice decoration. lot caf brunch drink something every floor. basement food court supermarket. paragon eat moderate price high end price. also michelin star restaurant called crystal jade golden palace . also fitness first 8th floor opened every day. busy weekend nice place chill out.,feedback,1.0,0,0,0,1,0,1
Paragon Shopping Centre,5.0,Paul Leach,"By far my favourite shopping mall in Singapore. Well laid out with a great selection of high quality shops.
Less flashy than ION but a much more enjoyable experience overall.
Never feels overcrowded even during the holiday season.",feedback,far favourite shopping mall singapore. well laid great selection high quality shops. less flashy ion much enjoyable experience overall. never feel overcrowded even holiday season.,feedback,0.95,0,0,0,1,0,1
