title,stars,name,text,label
Paragon Shopping Centre,5,Suhas Goel,"Paragon Mall is a standout shopping destination located in the heart of Orchard Road, Singaporeâ€™s upscale retail district. It strikes a great balance between luxury and accessible brands, featuring boutiques like Gucci and Prada alongside more mid-range labels. The mall is well-maintained, with elegant interiors and a comfortable shopping atmosphere. There are also plenty of food optionsâ€”from casual cafes to fine diningâ€”making it a convenient spot for both shopping and dining. Whether youâ€™re looking for designer fashion or a relaxing meal, Paragon offers a premium yet approachable experience.",feedback
Paragon Shopping Centre,5,Cheiro Theorem,"The shopping centre may not be large in size, but itâ€™s super compact and well laid out. Itâ€™s packed with all kinds of shops, from food and fashion to beauty and wellness, you name it. The buildingâ€™s design looks good, especially the sharp, angular structure. It gives the place a sleek, modern vibe that makes it feel pretty upscale and stylish. Itâ€™s a great spot to shop and eat.",feedback
Paragon Shopping Centre,5,Cheong Loong,"Every year at Xmas time, I will definitely make a memory trip to this beautifully   decorated centre. It brings back what festive mood is about as the shops put up their best window dressing that pulls in shoppers into the spirit on spending special gifts for their loved ones. The atmosphere feels warm n happy, bringing joy to anyone who can chill at the several prestige cafes that serve gourmet food n drinks after shopping. That's what life is about during Xmas season . We deserve to enjoy it.",feedback
Paragon Shopping Centre,4,K Tan,"Paragon shopping centre is one of the better malls along Orchard Rd shopping belt.
The CNY atmosphere and decoration is very festive and welcoming.
Main anchor tenants like Metro Muji and CS Supermarket at the basement.
Good selection of luxury items and mid level goods.
Plenty of restaurants and cafes in the premises.
Always drop by when shopping at Orchard Rd.",feedback
Paragon Shopping Centre,5,Febriana Tri Hartina,"In my opinion, this mall is the best among all the malls in Orchard. It offers a wide range of options, from high-end brands to more affordable choices. The food selection is impressive as well, featuring favorites like PS Cafe, Tambuah Mas, and many others. I often visit this mall, especially during my pregnancy and postpartum period. I particularly love the fifth floor, where all the kids' shops are located. There's even a small playground that my child enjoys.",feedback
Paragon Shopping Centre,5,Sheng Sheng,"Paragon exudes sophistication from the moment you step in. Its interior design features airy dual atria, sleek wide corridors across six levels, and natural light flooding through clerestory windows all wrapped in warm timber tones and veined stone finishes. The space feels refined yet inviting, balancing luxury with a welcoming atmosphere.

This is a premier destination for upscale fashion and designer labels. Inside, youâ€™ll find an enviable collection of international luxury brands like Gucci (home to a five-storey flagship), Prada, Givenchy, Burberry as well as accessible luxury names such as Coach and Miu Miu. The mix caters to a wide range of shoppers, offering depth without sacrificing prestige.

Paragon also shines when it comes to food, offering everything from casual cafÃ©s to fine dining. Highlights include Michelin-starred Crystal Jade Golden Palace and the luxurious Imperial Treasure Super Peking Duck restaurant.

If youâ€™re looking for a luxe yet approachable shopping experience in Singapore, Paragon delivers on multiple fronts: beautiful architecture, top-tier brand selection, diverse dining, and great accessibility. Whether youâ€™re browsing high fashion or stopping for a gourmet meal, itâ€™s a stylish and elevated destination that impresses.",feedback
Paragon Shopping Centre,4,Fab Foodie Swede Malin Nordblom,"Itâ€™s one of the better malls in Singapore. Great choices for food and restaurants. There is also several cafes. In the basement there is a supermarket, and it has a big selection of everything.
Clothes, shoes, bags, toys etc.. Both more expensive and less. Here is also a nice Markâ€™s and Spencer.",feedback
Paragon Shopping Centre,1,Angie,"Was at Paragon yesterday evening between 6.30-7.30. Visited a Club 21 pop up sale store on level 2. The experience there with the so call salesperson wasnâ€™t good. The store was selling most brands from Club 21 were slashing prices up to 70- 80 percent discount. I asked to reserved a pair of shoes in the afternoon and put at the counter as I need to rush off to meet clients. As a salesperson myself, this service given to me was below standard. Club 21 is a respectable company in Singapore having this young managers with no respect to customer is very bad. When I went back to buy the shoes, I couldnâ€™t find it, so one lady brought out the shoes and told me itâ€™s sales item, you asked my part time to keep for you she donâ€™t know anything , if we sold the shoes away there is nothing we can do! This sentence , sounds rude to me. She looked down on customers that are buying sales item, if she canâ€™t respect customers that are buying sales item, DONâ€™T GIVE DISCOUNT period.",feedback
Paragon Shopping Centre,2,joel chan,"I'm usually quite hesitant to leave negative reviews but I hope this won't be the experience of others in the future. I was at Paragon today and really needed to charge my phone and when I walked past the concierge I noticed that they had a sign stating that they offer portable chargers. When I went up to ask if I could borrow or rent one, the lady at the concierge didn't even look at me until i paused to wait for her to look up and assumed she was busy even though she already said ""hi"" while looking down. She then told me I had to pay a $50 deposit to borrow the portable charger, which I am completely fine with and understand the need for. She appeared shocked when I said I was fine with the $50 deposit so I just said it again that I was completely fine with it. She continued staring at me and just said ""$50 deposit"" which honestly confused me because she didn't ask me how I wanted to pay and didn't tell me only cash was accepted and repeated it until I asked her if only cash payment was available. I then told her that i didn't have cash and asked if card payment was available to which she replied ""there's an ATM""... I don't carry cash around and that's not her fault but I really think that for a mall like  paragon that the staff, especially at the concierge to have some sort of customer service training. I also think it would be a good idea to allow for card payment for the $50 deposit as many don't carry cash anymore especially if it is advertised at the concierge.",feedback
Paragon Shopping Centre,5,Rebecca Maki,"Always the most atas shopping mall in Orchard to me. We can find a lot of good stuff and food there. Including kid's apparel. Whenever we go to orchard, we will not miss entering Paragon. Like today, we just spent 5 hrs in Paragon. The Christmas atmosphere is 100%.",feedback
